ID,Name,Description,Price,Stock
S001,coke,soda,15.00,15
W001,Singha,water,7.00 ,14
W002,minera,water,10.00,20
I001,HongThai,inhaler,45.00,20
S002,Sprite,Carbonated Soft Drink,15.00,30
C001,Potato Chips,Salted Snack,25.00,20
C002,Chocolate Bar,Milk Chocolate,25.00,45
F001,Sandwich,Ham and Cheese,35.00,12
W003,Energy Drink,Caffeinated Beverage,30.00,24
C003,Candy,Assorted Flavors,5.00 ,22
F002,MAMA Tom Yum Flavor,Instant Noodles,12.00,43
C004,Gummy Bears,Fruit Flavored Candy,8.00 ,23
W004,Fruit Juice,Orange Juice,18.00,32
F003,Beef Jerky,Teriyaki Flavor,60.00,7
D001,Ice Cream Vanilla,Cream Vanilla Flavor,25.00,29
F004,Peanut Butter,Creamy Peanut Butter,42.00,26
F005,Tuna Sandwich,Tuna Salad,30.00,3
C005,Mixed Nuts,Assorted Nuts,28.00,34
W005,Iced Coffee,Mocha Flavor,28.00,46
C006,Rice Snacks,Seaweed Flavor,12.00,13
W006,Lemonade,Refreshing Drink,15.00,44
F006,Canned Soup,Chicken Noodle Soup,20.00,19
C007,Caramel Popcorn,Sweet Snack,18.00,32
C008,Chewing Gum,Spearmint Flavor,5.00 ,50
C009,Cheese Crackers,Cheese Flavored Biscuits,15.00,43
C010,Trail Mix,Nut and Dried Fruit Mix,15.00,32
W007,Instant Coffee,Regular Blend,16.00,25
C011,Rice Krispies Treat,Marshmallow Snack,12.00,32
C012,Sunflower Seeds,Roasted and Salted,8.00 ,50
F007,Apple,Fresh Fruit,20.00,43
W008,Milk,Fresh Dairy Milk,18.00,29
F008,Beef Jerky,Original Flavor,40.00,12
F009,Cheese Sandwich,Cheese and Tomato,35.00,8
F010,Fruit Cup,Mixed Fruit,22.00,77
C013,Popcorn,Buttered Popcorn,18.00,32
F011,Coconut Water,Natural Coconut Flavor,25.00,34
C014,Protein Bar,Chocolate Chip Flavor,30.00,21
C015,Sausage Roll,Savory Pastry,20.00,43
F012,Canned Fruit,Pineapple Slices,15.00,19
C016,Dried Mango,Sweet and Chewy,25.00,48
C017,Fruit Yogurt,Mixed Berry Flavor,18.00,26
F013,Hot Dog,Classic Frankfurter,25.00,12
C018,Mixed Berries,Frozen Berry Mix,30.00,48
W009,Canned Iced Tea,Lemon Flavor,12.00,23
C019,Pita Bread,Whole Wheat,10.00,25
C020,Granola Bars,Oat and Honey,20.00,15
F014,Pickles,Dill Pickle Spears,15.00,12
F015,Orange,Fresh Citrus Fruit,10.00,26
C021,pocky,chocolate flavour,25.00,12
